disease_id,name,type,description,symptoms,causes,treatments,related_bacteria,related_virus
92,COVID-19,Parasitic,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Vibrio cholerae,HPV
93,Meningitis,Viral,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Borrelia burgdorferi,Varicella-zoster
94,Tuberculosis,Genetic,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Mycobacterium tuberculosis,Rabies
95,Dengue,Genetic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Streptococcus pneumoniae,Hepatitis B
96,Polio,Viral,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Corynebacterium diphtheriae,Measles
97,Diabetes Mellitus,Metabolic,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Pseudomonas aeruginosa,Zika
98,Leprosy,Viral,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Klebsiella pneumoniae,HPV
99,Meningitis,Parasitic,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Enterococcus faecalis,Varicella-zoster
100,Ebola,Genetic,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Treponema pallidum,Epstein-Barr
101,Hypertension,Bacterial,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Bacillus anthracis,Measles
102,Tuberculosis,Parasitic,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Enterococcus faecalis,Epstein-Barr
103,Malaria,Metabolic,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Listeria monocytogenes,HIV
104,Pneumonia,Bacterial,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Staphylococcus aureus,HPV
105,Meningitis,Parasitic,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Helicobacter pylori,HIV
106,COVID-19,Genetic,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Treponema pallidum,Dengue
107,Ebola,Genetic,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Vibrio cholerae,Zika
108,Polio,Metabolic,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Clostridium tetani,Ebola
109,Influenza,Parasitic,A disease affecting humans. Further research may be required for specific details about Influenza.,"international, personal, five, writer, north","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Treponema pallidum,Varicella-zoster
110,Pneumonia,Genetic,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Staphylococcus aureus,Mumps
111,Asthma,Viral,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Escherichia coli,Hepatitis B
112,Asthma,Bacterial,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Escherichia coli,Norovirus
113,Measles,Parasitic,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Staphylococcus aureus,Varicella-zoster
114,Meningitis,Viral,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Pseudomonas aeruginosa,Measles
115,COVID-19,Parasitic,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Proteus mirabilis,Rubella
116,Zika,Metabolic,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Salmonella enterica,Measles
117,Zika,Bacterial,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Salmonella enterica,Rotavirus
118,Tuberculosis,Parasitic,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Vibrio cholerae,Varicella-zoster
119,Tuberculosis,Genetic,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Enterococcus faecalis,Cytomegalovirus
120,Tuberculosis,Viral,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Salmonella enterica,Rabies
121,Zika,Parasitic,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Escherichia coli,HIV
122,Malaria,Bacterial,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Borrelia burgdorferi,Influenza
